t,q
1314,0.09052192
1315,0.0905832
1316,0.09064448
1317,0.09070576
1318,0.09076704
1319,0.09082832
1320,0.0908896
1321,0.09095088
1322,0.09101216
1323,0.09107344
1324,0.09113472
1325,0.091196
1326,0.09125728
1327,0.09131856
1328,0.09137984
1329,0.09144112
1330,0.0915024
1331,0.09156368
1332,0.09162496
1333,0.09168624
1334,0.09174752
1335,0.0918088
1336,0.09187008
1337,0.09193136
1338,0.09199264
1339,0.09205392
1340,0.0921152
1341,0.09217648
1342,0.09223776
1343,0.09229904
1344,0.09236032
1345,0.0924216
1346,0.09248288
1347,0.09254416
1348,0.09260544
1349,0.09266672
1350,0.092728
1351,0.09278928
1352,0.09285056
1353,0.09291184
1354,0.09297312
1355,0.0930344
1356,0.09309568
1357,0.09315696
1358,0.09321824
1359,0.09327952
1360,0.0933408
1361,0.09340208
1362,0.09346336
1363,0.09352464
1364,0.09358592
1365,0.0936472
1366,0.09370848
1367,0.09376976
1368,0.09383104
1369,0.09389232
1370,0.0939536
1371,0.09401488
1372,0.09407616
1373,0.09413744
1374,0.09419872
1375,0.09426
1376,0.09432128
1377,0.09438256
1378,0.09444384
1379,0.09450512
1380,0.0945664
1381,0.09462768
1382,0.09468896
1383,0.09475024
1384,0.09481152
1385,0.0948728
1386,0.09493408
1387,0.09499536
1388,0.09505664
1389,0.09511792
1390,0.0951792
1391,0.09524048
1392,0.09530176
1393,0.09536304
1394,0.09542432
1395,0.0954856
1396,0.09554688
1397,0.09560816
1398,0.09566944
1399,0.09573072
1400,0.095792
1401,0.09585328
1402,0.09591456
1403,0.09597584
1404,0.09603712
1405,0.0960984
1406,0.09615968
1407,0.09622096
1408,0.09628224
1409,0.09634352
1410,0.0964048
1411,0.09646608
1412,0.09652736
1413,0.09658864
1414,0.09664992
1415,0.0967112
1416,0.09677248
1417,0.09683376
1418,0.09689504
1419,0.09695632
1420,0.0970176
1421,0.09707888
1422,0.09714016
1423,0.09720144
1424,0.09726272
1425,0.097324
1426,0.09738528
1427,0.09744656
1428,0.09750784
1429,0.09756912
1430,0.0976304
1431,0.09769168
1432,0.09775296
1433,0.09781424
